RANK,RARITY SCORE,Model,MODEL RARITY,SUBTOTAL RARITY
436,50.57,Model E,3.43,47.13
437,50.48,Model O,4.96,45.52
438,50.31,Model M,2.68,47.64
439,50.3,Model M,2.68,47.63
440,50.3,Model O,4.96,45.34
441,50.25,Model E,3.43,46.84
442,50.03,Model E,3.43,46.6
443,49.94,Model M,2.68,47.26
444,49.91,Model O,4.96,44.94
445,49.68,Model O,4.96,44.72
446,49.61,Model M,2.68,46.93
447,49.42,Model M,2.68,46.73
448,49.35,Model M,2.68,46.68
449,49.29,Model O,4.96,44.32
450,49.08,Model E,3.43,45.64
451,48.99,Model M,2.68,46.32
452,48.5,Model O,4.96,43.54
453,48.29,Model M,2.68,45.61
454,48.04,Model O,4.96,43.08
455,48,Model E,3.43,44.56
456,47.81,Model E,3.43,44.39
457,47.71,Model M,2.68,45.04
458,47.66,Model O,4.96,42.71
459,47.24,Model O,4.96,42.28
460,47.07,Model O,4.96,42.11
461,47.06,Model E,3.43,43.64
462,46.98,Model E,3.43,43.55
463,46.88,Model M,2.68,44.2
464,46.83,Model O,4.96,41.88
465,46.8,Model E,3.43,43.38
466,46.59,Model E,3.43,43.15
467,46.57,Model E,3.43,43.13
468,46.54,Model E,3.43,43.12
469,46.53,Model O,4.96,41.58
470,46.5,Model M,2.68,43.82
471,46.44,Model O,4.96,41.48
472,46.42,Model M,2.68,43.75
473,46.26,Model O,4.96,41.31
474,46.08,Model E,3.43,42.65
475,46.03,Model O,4.96,41.06
476,45.89,Model E,3.43,42.45
477,45.53,Model O,4.96,40.57
478,45.31,Model M,2.68,42.64
479,45.29,Model E,3.43,41.86
480,45.24,Model O,4.96,40.3
481,45.15,Model O,4.96,40.19
482,45.06,Model O,4.96,40.09
483,45.02,Model E,3.43,41.58
484,44.78,Model O,4.96,39.82
485,44.61,Model O,4.96,39.65
486,44.44,Model M,2.68,41.77
487,44.37,Model O,4.96,39.4
488,43.71,Model O,4.96,38.75
489,43.47,Model M,2.68,40.8
490,43.31,Model E,3.43,39.89
491,43.12,Model O,4.96,38.16
492,42.64,Model O,4.96,37.68
